Periodo,Área geográfica,Indicador,DATA
2002 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",73.1
2002 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",77.1
2002 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",76.9
2002 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",74.5
2002 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",75.7
2002 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",75.3
2002 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",74.5
2002 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",77.2
2002 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",75
2002 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",77.7
2003 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",73.7
2003 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",70.8
2003 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",75.7
2003 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",76.3
2003 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",77.5
2003 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",76.1
2003 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",77.7
2003 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",75.7
2003 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",76.8
2003 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",77.9
2003 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",76.2
2003 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",82.4
2004 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",74.1
2004 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",72.5
