ds,unique_id,y
2002-11-19,inversion,70.4
2002-12-19,inversion,71.0
2003-01-19,inversion,63.7
2003-02-19,inversion,65.3
2003-03-19,inversion,66.2
2003-04-19,inversion,64.5
2003-05-19,inversion,63.4
2003-06-19,inversion,62.0
2003-07-19,inversion,67.3
2003-08-19,inversion,68.0
2003-09-19,inversion,65.9
2003-10-19,inversion,66.8
2003-11-19,inversion,67.4
2003-12-19,inversion,72.5
2004-01-19,inversion,67.4
2004-02-19,inversion,65.7
2004-03-19,inversion,71.9
2004-04-19,inversion,68.6
2004-05-19,inversion,66.8
2004-06-19,inversion,67.6
2004-07-19,inversion,70.5
2004-08-19,inversion,70.3
2004-09-19,inversion,70.6
2004-10-19,inversion,70.8
2004-11-19,inversion,76.3
2004-12-19,inversion,79.0
2005-01-19,inversion,69.8
2005-02-19,inversion,67.9
2005-03-19,inversion,71.4
2005-04-19,inversion,73.6
2005-05-19,inversion,69.7
2005-06-19,inversion,70.1
2005-07-19,inversion,71.6
2005-08-19,inversion,75.2
2005-09-19,inversion,74.7
2005-10-19,inversion,74.5
2005-11-19,inversion,82.3
2005-12-19,inversion,86.1
2006-01-19,inversion,75.1
2006-02-19,inversion,73.0
2006-03-19,inversion,81.3
2006-04-19,inversion,77.0
2006-05-19,inversion,78.8
2006-06-19,inversion,77.6
2006-07-19,inversion,80.4
2006-08-19,inversion,84.0
2006-09-19,inversion,83.4
2006-10-19,inversion,83.4
2006-11-19,inversion,88.4
2006-12-19,inversion,91.1
